Symbol,Name,Year,EPS,BPS
A012330,현대모비스,2015,31387,266859
A012330,현대모비스,2016,31205,296189
A012330,현대모비스,2017,,
A207940,삼성바이오로직스,2001,,
A207940,삼성바이오로직스,2002,,
A207940,삼성바이오로직스,2003,,
A207940,삼성바이오로직스,2004,,
A207940,삼성바이오로직스,2005,,
A207940,삼성바이오로직스,2006,,
A207940,삼성바이오로직스,2007,,
A207940,삼성바이오로직스,2008,,
A207940,삼성바이오로직스,2009,,
A207940,삼성바이오로직스,2010,,
A207940,삼성바이오로직스,2011,-4008,47335
A207940,삼성바이오로직스,2012,-8089,41501
A207940,삼성바이오로직스,2013,-11422,30987
A207940,삼성바이오로직스,2014,-4800,30760
A207940,삼성바이오로직스,2015,77040,100652
A207940,삼성바이오로직스,2016,-3115,61700
A207940,삼성바이오로직스,2017,,
A015760,한국전력,2001,2778,51585
A015760,한국전력,2002,4780,56203
A015760,한국전력,2003,3618,59053
A015760,한국전력,2004,4496,63184
A015760,한국전력,2005,3821,65970
A015760,한국전력,2006,3227,68206
A015760,한국전력,2007,2427,69786
A015760,한국전력,2008,-4602,64967
A015760,한국전력,2009,-121,65199
A015760,한국전력,2010,-2304,76143
A015760,한국전력,2011,-5251,84135
A015760,한국전력,2012,-4933,78868
A015760,한국전력,2013,93,79446
A015760,한국전력,2014,4185,83496
A015760,한국전력,2015,20701,103798
A015760,한국전력,2016,10980,111725
A015760,한국전력,2017,,
A105560,KB금융,2001,,
A105560,KB금융,2002,,
A105560,KB금융,2003,,
A105560,KB금융,2004,,
A105560,KB금융,2005,,
A105560,KB금융,2006,,
A105560,KB금융,2007,,
A105560,KB금융,2008,1717,44419
A105560,KB금융,2009,1451,46206
A105560,KB금융,2010,108,46127
A105560,KB금융,2011,6142,59319
A105560,KB금융,2012,4480,63591
A105560,KB금융,2013,3291,67250
A105560,KB금융,2014,3626,70700
A105560,KB금융,2015,4396,74234
A105560,KB금융,2016,5458,75865
A105560,KB금융,2017,,
A055550,신한지주,2001,755,12957
A055550,신한지주,2002,2066,13717
A055550,신한지주,2003,1011,15618
A055550,신한지주,2004,2628,18595
A055550,신한지주,2005,4169,24617
A055550,신한지주,2006,4413,26966
A055550,신한지주,2007,5177,38221
A055550,신한지주,2008,4335,38390
A055550,신한지주,2009,2505,39311
A055550,신한지주,2010,1179,40071
A055550,신한지주,2011,5897,46117
A055550,신한지주,2012,4756,54341
A055550,신한지주,2013,3912,56745
A055550,신한지주,2014,4288,60136
A055550,신한지주,2015,4878,63548
A055550,신한지주,2016,5810,65605
A055550,신한지주,2017,,
A017670,SK텔레콤,2001,12791,79730
A017670,SK텔레콤,2002,16952,86698
A017670,SK텔레콤,2003,23154,97098
A017670,SK텔레콤,2004,18169,111504
A017670,SK텔레콤,2005,22745,125248
A017670,SK텔레콤,2006,17654,139436
A017670,SK텔레콤,2007,20229,166010
A017670,SK텔레콤,2008,15736,157458
A017670,SK텔레콤,2009,15954,163891
A017670,SK텔레콤,2010,24113,170701
A017670,SK텔레콤,2011,19975,174280
A017670,SK텔레콤,2012,14263,176669
A017670,SK텔레콤,2013,20298,193101
A017670,SK텔레콤,2014,22307,206159
A017670,SK텔레콤,2015,18807,216875
A017670,SK텔레콤,2016,20756,225796
A017670,SK텔레콤,2017,,
A034730,SK,2001,41608,93903
A034730,SK,2002,42114,82117
A034730,SK,2003,44774,127435
A034730,SK,2004,157541,280296
A034730,SK,2005,211160,487870
A034730,SK,2006,193833,599303
A034730,SK,2007,9796,41879
A034730,SK,2008,7288,51396
A034730,SK,2009,2887,24539
A034730,SK,2010,2245,24781
A034730,SK,2011,8765,49746
A034730,SK,2012,7122,53544
A034730,SK,2013,4045,60725
A034730,SK,2014,2546,64429
A034730,SK,2015,93171,189929
A034730,SK,2016,10794,197625
A034730,SK,2017,,
A096770,SK이노베이션,2001,,
A096770,SK이노베이션,2002,,
A096770,SK이노베이션,2003,,
A096770,SK이노베이션,2004,,
A096770,SK이노베이션,2005,,
A096770,SK이노베이션,2006,,
A096770,SK이노베이션,2007,3743,66807
A096770,SK이노베이션,2008,9487,80226
A096770,SK이노베이션,2009,7254,84811
A096770,SK이노베이션,2010,9411,119763
A096770,SK이노베이션,2011,33816,157089
A096770,SK이노베이션,2012,12649,165476
A096770,SK이노베이션,2013,7789,170471
A096770,SK이노베이션,2014,-6283,161517
A096770,SK이노베이션,2015,8696,171008
A096770,SK이노베이션,2016,17834,183956
A096770,SK이노베이션,2017,,
A051900,LG생활건강,2001,3140,14136
A051900,LG생활건강,2002,2486,15349
A051900,LG생활건강,2003,2724,16220
A051900,LG생활건강,2004,2060,16601
A051900,LG생활건강,2005,4057,20001
A051900,LG생활건강,2006,2986,21977
A051900,LG생활건강,2007,4531,25549
A051900,LG생활건강,2008,6805,31355
A051900,LG생활건강,2009,7152,35271
A051900,LG생활건강,2010,13016,48483
A051900,LG생활건강,2011,14941,60295
A051900,LG생활건강,2012,17154,71816
A051900,LG생활건강,2013,20166,83516
A051900,LG생활건강,2014,19722,96417
A051900,LG생활건강,2015,25982,118986
A051900,LG생활건강,2016,32070,146927
A051900,LG생활건강,2017,,
A090430,아모레퍼시픽,2001,,
A090430,아모레퍼시픽,2002,,
A090430,아모레퍼시픽,2003,,
A090430,아모레퍼시픽,2004,,
A090430,아모레퍼시픽,2005,,
A090430,아모레퍼시픽,2006,8129,115788
A090430,아모레퍼시픽,2007,25770,138324
A090430,아모레퍼시픽,2008,24666,161800
A090430,아모레퍼시픽,2009,32728,188520
A090430,아모레퍼시픽,2010,41735,269326
A090430,아모레퍼시픽,2011,47384,308544
A090430,아모레퍼시픽,2012,39183,338323
A090430,아모레퍼시픽,2013,38828,370316
A090430,아모레퍼시픽,2014,54930,414410
A090430,아모레퍼시픽,2015,9704,48495
A090430,아모레퍼시픽,2016,9262,56222
A090430,아모레퍼시픽,2017,,
A251270,넷마블게임즈,2001,,
A251270,넷마블게임즈,2002,,
A251270,넷마블게임즈,2003,,
A251270,넷마블게임즈,2004,,
A251270,넷마블게임즈,2005,,
A251270,넷마블게임즈,2006,,
A251270,넷마블게임즈,2007,,
A251270,넷마블게임즈,2008,,
A251270,넷마블게임즈,2009,,
A251270,넷마블게임즈,2010,,
A251270,넷마블게임즈,2011,-11846,488982
A251270,넷마블게임즈,2012,-87617,336103
A251270,넷마블게임즈,2013,-18069,308760
A251270,넷마블게임즈,2014,107105,2105586
A251270,넷마블게임즈,2015,8190,71076
A251270,넷마블게임즈,2016,2718,17949
A251270,넷마블게임즈,2017,,
A018260,삼성에스디에스,2001,1423,4509
A018260,삼성에스디에스,2002,151,3771
A018260,삼성에스디에스,2003,1106,4744
A018260,삼성에스디에스,2004,1440,5927
A018260,삼성에스디에스,2005,2674,8602
A018260,삼성에스디에스,2006,3922,12645
A018260,삼성에스디에스,2007,4017,16931
A018260,삼성에스디에스,2008,4137,20645
A018260,삼성에스디에스,2009,4196,24605
A018260,삼성에스디에스,2010,4506,36089
A018260,삼성에스디에스,2011,4523,39384
A018260,삼성에스디에스,2012,5478,44086
A018260,삼성에스디에스,2013,4312,49166
A018260,삼성에스디에스,2014,5336,53166
A018260,삼성에스디에스,2015,5674,59324
A018260,삼성에스디에스,2016,5995,66457
A018260,삼성에스디에스,2017,,
A066570,LG전자,2001,,
A066570,LG전자,2002,1771,19241
A066570,LG전자,2003,4227,22409
A066570,LG전자,2004,9860,32290
A066570,LG전자,2005,4391,38786
A066570,LG전자,2006,1478,36950
A066570,LG전자,2007,7553,44826
A066570,LG전자,2008,2983,52225
A066570,LG전자,2009,7086,67556
A066570,LG전자,2010,7582,78408
A066570,LG전자,2011,-2809,71551
A066570,LG전자,2012,511,65497
A066570,LG전자,2013,978,65165
A066570,LG전자,2014,2208,65056
A066570,LG전자,2015,688,64542
A066570,LG전자,2016,425,66536
A066570,LG전자,2017,,
A033780,KT&G,2001,1748,16161
A033780,KT&G,2002,1846,17938
A033780,KT&G,2003,2538,19951
A033780,KT&G,2004,2660,21718
A033780,KT&G,2005,3145,23380
A033780,KT&G,2006,4105,22841
A033780,KT&G,2007,4547,24797
A033780,KT&G,2008,6042,26524
A033780,KT&G,2009,6139,30649
A033780,KT&G,2010,7516,34765
A033780,KT&G,2011,5944,37378
A033780,KT&G,2012,5376,39550
A033780,KT&G,2013,4157,40891
A033780,KT&G,2014,6013,43481
A033780,KT&G,2015,7544,47679
A033780,KT&G,2016,8968,53709
A033780,KT&G,2017,,
A003550,LG,2001,2172,18023
A003550,LG,2002,3393,39049
A003550,LG,2003,45,16541
A003550,LG,2004,2890,19677
A003550,LG,2005,3430,23225
A003550,LG,2006,2282,23912
A003550,LG,2007,5360,29538
A003550,LG,2008,5186,35518
A003550,LG,2009,1504,38187
A003550,LG,2010,8693,56102
A003550,LG,2011,5563,59998
A003550,LG,2012,5334,63293
A003550,LG,2013,5095,66860
A003550,LG,2014,4802,69678
A003550,LG,2015,5369,73792
A003550,LG,2016,6111,78903
A003550,LG,2017,,
A006400,삼성SDI,2001,11583,61589
A006400,삼성SDI,2002,12185,71518
A006400,삼성SDI,2003,13491,85279
A006400,삼성SDI,2004,15430,96776
A006400,삼성SDI,2005,5089,102406
A006400,삼성SDI,2006,1894,104511
A006400,삼성SDI,2007,-12553,103027
A006400,삼성SDI,2008,824,100992
A006400,삼성SDI,2009,3671,109301
A006400,삼성SDI,2010,7548,132039
A006400,삼성SDI,2011,6785,133305
A006400,삼성SDI,2012,31192,159857
A006400,삼성SDI,2013,2768,159933
A006400,삼성SDI,2014,-1426,164775
A006400,삼성SDI,2015,765,156614
A006400,삼성SDI,2016,3117,155915
A006400,삼성SDI,2017,,
A010950,S-Oil,2001,168,14668
A010950,S-Oil,2002,1647,16303
A010950,S-Oil,2003,2244,16995
A010950,S-Oil,2004,8071,23367
A010950,S-Oil,2005,5617,24495
A010950,S-Oil,2006,6505,27307
A010950,S-Oil,2007,6402,34035
A010950,S-Oil,2008,3827,29121
A010950,S-Oil,2009,2343,33922
A010950,S-Oil,2010,6090,38647
A010950,S-Oil,2011,10214,44828
A010950,S-Oil,2012,5018,46121
A010950,S-Oil,2013,2484,45932
A010950,S-Oil,2014,-2468,42116
A010950,S-Oil,2015,5414,46240
A010950,S-Oil,2016,10337,54830
A010950,S-Oil,2017,,
